ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Ratings,Date,Summary
B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,9/20/2012,poor taste
B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,8/16/2012,Love it!
B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,12/23/2011,GREAT SWEET CANDY!
B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,10/8/2011,Home delivered twizlers
B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,8/16/2011,Always fresh
B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,0,0,5,6/25/2011,TWIZZLERS
B001GVISJM,ARYVQL4N737A1,Charles Brown,0,0,5,5/9/2011,Delicious product!
B001GVISJM,AJ613OLZZUG7V,Mare's,0,0,5,5/4/2011,Twizzlers
B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1/20/2011,Please sell these in Mexico!!
B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,10/29/2010,Twizzlers - Strawberry
B001GVISJM,A3RXAU2N8KV45G,lady21,0,1,1,3/25/2012,Nasty No flavor
B001GVISJM,AAAS38B98HMIK,Heather Dube,0,1,4,3/16/2012,Great Bargain for the Price
B00144C10S,A2F4LZVGFLD1OB,DaisyH,0,0,5,6/5/2012,YUMMY!
B0001PB9FY,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,2/8/2005,The Best Hot Sauce in the World
B003F6UO7K,AFM0O9480F04W,Sherril,0,0,5,2/14/2011,Great machine!
B003F6UO7K,A31OQO709M20Y7,"Molly V. Smith ""staral""",0,1,5,10/29/2010,THIS IS MY TASTE...
B001EO5QW8,AOVROBZ8BNTP7,S. Potter,19,19,4,11/13/2006,Best of the Instant Oatmeals
B001EO5QW8,A3PMM0NFVEJGK9,"Megan ""Bad at Nicknames""",13,13,4,12/17/2006,Good Instant
B001EO5QW8,A2EB6OGOWCRU5H,CorbyJames,9,9,5,3/30/2007,Great Irish oatmeal for those in a hurry!
B001EO5QW8,A2CI0RLADCRKPF,T. J. Ryan,3,3,4,5/11/2008,satisfying
B001EO5QW8,A1MYS9LFFBIYKM,"Abby Chase ""gluten free""",2,2,5,9/27/2007,Love Gluten Free Oatmeal!!!
B001EO5QW8,A3MGP2E1ZZ6GRB,"Zardoz ""focuspuller""",1,1,5,3/31/2009,it's oatmeal
B001EO5QW8,A2GHZ2UTV2B0CD,JERRY REITH,0,0,4,10/21/2012,GOOD WAY TO START THE DAY....
B001EO5QW8,AO80AC8313NIZ,kYpondman,0,0,5,9/28/2011,Wife's favorite Breakfast
B001EO5QW8,AQCY5KRO7489S,Garrett,0,0,5,4/22/2011,Why wouldn't you buy oatmeal from Mcanns? Tastes great!
B001EO5QW8,A1WK4ALVZDYPUE,"Dick Baldwin ""christobe""",0,0,5,4/7/2011,Oatmeal For Oatmeal Lovers
B001EO5QW8,A16XFOYQSJREL7,Roger Pugliese,0,0,5,10/14/2010,Food-Great
B001EO5QW8,A17DW6SUOC70DJ,Mother of 9,0,0,5,10/13/2009,Good Hot Breakfast
B001EO5QW8,A2G7B7FKP2O2PU,D. Leschke,0,0,5,5/2/2008,Great taste and convenience
B001EO5QW8,A39Z97950MCTQE,K. A. Freel,0,0,3,3/11/2008,Hearty Oatmeal
B001EO5QW8,AQLL2R1PPR46X,grumpyrainbow,0,0,5,10/19/2007,good
B001EO5QW8,A26AY1TFK8BQXQ,"kbogo ""shoelover""",1,2,3,1/12/2008,Mushy
B001EO5QW8,ALOR97KTZTK1P,knitty pants,1,2,4,10/7/2007,Very good but next time I won't order the Variety Pack
B001EO5QW8,A276999Y6VRSCQ,JMay,0,1,3,4/10/2012,Same stuff
B001EO5QW8,A108P30XVUFKXY,Roberto A,0,7,1,2/19/2008,Don't like it
B000G6RPMY,A3S5KJDA6ED2PS,Mike Kaser,4,4,5,6/2/2009,HOT!  And good!  Came back for more  :)
B000G6RPMY,A9L6L5H9BPEBO,Edwin C. Pauzer,1,1,4,9/29/2012,You'll go nuts over Ass-Kickin' Peanuts.
B000G6RPMY,AQ9DWWYP2KJCQ,"Roel Trevino ""protomex""",0,0,3,7/2/2010,not ass kickin
B002GWHC0G,A1ND7WC5LXOU48,"David Belton ""Proteus 1""",2,2,4,11/28/2011,Roasts up a smooth brew
B002GWHC0G,A2EFAW1P3DRXWO,TJ Fairfax,0,0,5,10/5/2012,Our guests love it!
B004N5KULM,A202WR509428VF,amateur amazon shopper,2,2,5,11/28/2011,Awesome Deal!
B004N5KULM,ASCNNAJU6SXF8,S. Beck,1,1,5,5/5/2012,How can you go wrong!
B004N5KULM,A2A7KXM9B4XW90,"P. Kelso ""Amazon all the way!""",0,0,5,11/4/2011,Awsome - Kids in neighborhood loved us!
B004N5KULM,A2QOGOXPOVKAJG,mimimc,0,0,5,11/1/2011,great deal.
B004N5KULM,A1ZR8O62VSU4OK,"Lisa J. Szlosek ""lisa""",2,4,3,10/16/2011,Better price for this at Target
B004N5KULM,A7ZK2A3VIW7X9,Peggy,0,2,5,10/24/2011,pretty expensive
B001EO5TPM,A1E09XGZUR78C6,gary sturrock,2,2,1,7/6/2008,stale product.
B005DUM9UQ,A3HR0ZZOFKQ97N,RLC,3,3,5,4/4/2012,Hammer Nutrition 's Fizz Rocks!
B005DUM9UQ,A2XIHNXODNZGV4,"ChemProf ""chem professor""",1,1,5,4/5/2012,great source of electrolytes
B005DUM9UQ,A3TWF9DQ6MU87E,dhy4b,1,1,5,3/12/2012,Great for preventing cramps
B005DUM9UQ,AEFIZIJ1FK1BK,Doug,0,0,5,8/17/2012,Low Carb Alternative to Gatorade
B005DUM9UQ,A8OFFIAL6XTOH,Bill Shirer,0,1,2,5/31/2012,Taste is not so good.
B000E7VI7S,A1KL2LAW08X6UQ,calmnsense,0,0,3,1/20/2007,How much would you pay for a bag of chocolate pretzels?
B000E7VI7S,AWCBF2ZWIN57F,C. Salcido,0,2,5,7/30/2007,pretzel haven!
B001GVISJC,A27TKQHFW0FB5N,Chet,2,2,5,10/1/2009,Great Gummi!
B001GVISJC,A3BDOAPSF96WGQ,2tall,1,1,5,11/9/2010,Bigger then other brands
B006SQBRMA,ATYMT48R62ENE,Marie,0,0,5,1/20/2012,Best ever latice tart
B0059WXJKM,A25VFHVGI4CFTP,Diana Robinson,0,1,1,4/30/2012,Warning!  WARNING!  -ALCOHOL SUGARS!
B001EPPI84,A3Q0IDQ03S0158,Jen,0,0,2,10/22/2010,nothing special
B001EPPI84,A27TZ4WBU7N0YF,I. So,0,0,1,5/28/2010,No Tea Flavor
B004X2KR36,A2W3ABLWMJ84NS,Jessica Snyder,0,0,5,9/24/2012,Good
B004X2KR36,A26M5O53PHZTKN,"Debs ""peanut""",0,0,5,9/21/2012,Taste great
B004X2KR36,A2AB7M9UCNBVN7,sharonh4,0,0,3,9/7/2012,Order only in cold weather
B005R8JE8O,A3H1EQD2PBC085,jmc,0,0,5,8/14/2012,this is the best
B0066DMI6Y,AB30HQTI5VOLR,Melinda Bishop,1,1,5,12/29/2011,Delicious!
B0066DMI6Y,AZLONLC8OZPEC,John W. Hollis,1,1,4,12/23/2011,Great
B003ZFRKGO,A2VOZX7YBT0D6D,"Johnnycakes ""Johnnycakes""",15,15,5,1/4/2012,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!
B0019CW0HE,A1FD9E5C06UB6B,BRENDA DEMERS,5,5,3,3/25/2011,Natural Balance Lamb and Rice
B0019CW0HE,AK2CXHH9VRZ2A,I. GLENN,4,4,3,8/13/2011,INCREASED MY DOGS ITCHING
B0019CW0HE,A25BGFRHYHEZKK,Toby's mom,4,4,5,12/21/2010,Great food!
B0019CW0HE,A37N9XZBB8JYOF,Ash52,1,1,5,4/6/2012,Great for my dogs allergies
B0019CW0HE,A1T4L0Q47OZ9N,Wendy,1,1,5,11/10/2011,Great for stomach problems!
B0019CW0HE,A3IMXZE9FCUNOC,Dana,1,1,5,7/26/2011,Better life for you dog!
B0019CW0HE,A1EC57S6C2VLTL,"Lorraine ""Agelechio""",0,0,5,9/12/2012,Great Food
B0019CW0HE,A1OGD72Y2Y26CF,Lisas201,0,0,5,4/26/2012,Great food for my my dog who has a sensitive stomach.
B0019CW0HE,A7JWCYVPF7KCO,gare,0,0,5,4/21/2012,Great dog food
B0019CW0HE,ABG53EBZBKD23,"J. Romagnoli ""*jroma""",0,0,5,4/9/2012,Mmmmm  Mmmmm good.
B0019CW0HE,A3AF72GP4GVRY1,John D. Meara,0,0,5,2/24/2012,Great Dog Food!
B0019CW0HE,A1DJAAKLPCJRZD,wendy,0,0,5,2/19/2012,So convenient
B0019CW0HE,A1BFNM27629VAV,E. Triebe,0,0,5,11/1/2011,Good healthy dog food
B0019CW0HE,A18AAABCIJKC5Q,Rhiever,0,0,5,4/26/2011,Great dog food
B0019CW0HE,A3UII2114114PI,"FuNky Faja ""SiLkk""",0,0,5,2/10/2011,"Great allergy sensitive dog food, dogs love it"
B0019CW0HE,ABZ9F0D94YK45,Amazon-tron 3000,0,0,5,1/18/2011,Perfect for our English Bulldog with Allergies
B0019CW0HE,A2P6ACFZ8FTNVV,Melissa Benjamin,0,1,1,3/8/2012,Bad
B004K2IHUO,A1SYSKR79LA2CB,"Mycroft ""Virture is its own punishment""",4,5,5,1/27/2009,Taste wise it is a 6 star item
B004K2IHUO,A3D1TXE98KRKYO,"Danny ""The Student""",2,3,4,10/26/2009,Great Support
B004K2IHUO,AVCA516CFZ9HF,S. Fowler,0,0,4,4/23/2012,TART!
B004K2IHUO,A1P21J0DMTVGS7,Lovethemovies,0,0,5,3/18/2012,Omaha Apple Tartlets
B004K2IHUO,AL3E5V6MXO9B0,pionex1796,0,0,5,1/13/2012,Loved these Tartlets
B004K2IHUO,A2O9G2521O626G,Rachel Westendorf,0,0,5,6/22/2011,The best
B004K2IHUO,A1ZKFQLHFZAEH9,"S. J. Monson ""world citizen""",2,8,3,3/7/2009,disappointing
B001REEG6C,A30835UIR6F8KB,Adam E. Smith,2,2,5,1/18/2011,Wasting Vinegar on a Cucumber is a Shame!
B001REEG6C,A10EHUTGNC4BGP,M. Foell,1,1,5,5/31/2009,Asparagus Bliss
B001REEG6C,AY12DBB0U420B,Gary Peterson,0,0,5,9/19/2011,My Idea of a Good Diet Food.
B000J0HIT2,A1VKJN5Y1C7S5Y,"Wilhelmina Robinson ""Wilhelmina Robinson &#34...",2,2,2,8/21/2009,Low Carb Angel Food Puffs
B0037LW78C,A3VEYLW2KPZNGK,G. Simmons,3,3,5,2/16/2011,Delicious tea
B0037LW78C,A2F65U0UDY7TAW,Aldo,2,2,5,5/26/2012,My every day green tea
B0037LW78C,AWNANZ5VUO7IB,John D. Zuccarino,1,1,5,6/25/2011,the best tea ever... freah bright clean
B0037LW78C,A1Q4PJXI5HS5WT,ceecee,0,0,5,3/30/2012,Tea review
B0037LW78C,A2IX1B76ONTXEL,Cinderella,0,0,5,1/15/2012,Wonderful Tea
B0026Y3YBK,A3P60QLFDDCHOY,"Giordano ""GB""",2,2,5,5/9/2011,Great cookies
B0026Y3YBK,A38BUM0OXH38VK,singlewinder,0,0,5,9/15/2012,Best everyday cookie!
B003SE19UK,AD1WWGMEQ8FWW,Bob Rex,5,5,5,11/29/2010,So Far So Good
B003SE19UK,A2PM49X61MWZJV,DamiKris,4,4,5,12/18/2011,Best Cat Food
B003SE19UK,A3A52DETIFZNZS,Sarah Wilson,4,4,5,7/2/2011,Great food.
B003SE19UK,A3L15C30CBPZOR,Cynthia G. Pate,2,2,5,3/6/2012,Perfect Cat Food For Older Cats!
B003SE19UK,A29SUR9R8ZU54B,Alfbo,1,1,5,8/12/2011,Good for Feline UTI
B003SE19UK,A9GRWS6KP8SMA,Anne Kirkwood,1,1,5,12/17/2010,Palatable and healthy
B003SE19UK,ASOEVZ99YWPVL,PurpleGreen,0,0,5,10/1/2012,Healthy & They LOVE It!
B003SE19UK,A1QAJ948PN36II,Winter Green,0,0,5,7/11/2012,Wonderful food - perfect for allergic kitties
B003SE19UK,A1LWFJRITZLYUG,PMG1,0,0,5,4/12/2012,Holistic select cat food
B003OB0IB8,A34UG2TNXIL0Y,Austin H.,4,4,4,1/6/2012,Tastes great. Love Hot & Spicy. Bad price here.
B003OB0IB8,A3NVZTGPORNPRW,B. Pearce,4,4,5,8/28/2011,My favorite ramen
B003OB0IB8,A28D854VMOEHGX,Benny,3,3,3,2/17/2012,It burns!
B003OB0IB8,AISIYS3D2EAOX,RTyst,1,1,5,2/29/2012,Amazing to the last bite.
B003OB0IB8,A2DLRG3YX6A2ZU,luckybabe,2,3,2,12/14/2011,Not for me
B003OB0IB8,A56HS2VNURVJ0,"J. Espinoza ""jchav1980""",0,0,5,7/30/2012,Great spicy flavor
B003OB0IB8,AOTEC8KEH8JGN,Seth S Moyers,0,0,5,4/20/2012,Great value and convenient ramen
B003OB0IB8,A1D0URD0AL237J,Mother of Pearl,0,0,5,4/17/2012,great flavor
B003OB0IB8,A2BZNXMV0LC7OE,Alanna,0,0,4,4/7/2012,"Tastes great, but is cheaper locally."
B002SRYRE8,A198FU6P1BVUNZ,Sarah,0,0,5,10/9/2012,Tastes awesome & looks beautiful
B002SRYRE8,A21E0OJ4DSKXNA,Smileface,0,0,5,7/12/2012,Happy Face
B002SRYRE8,A1FJJQA34W0F4K,"Gettin Real ""gettin real""",0,0,5,2/14/2012,Simply the BEST!
B002SRYRE8,A20PK3OCKRRSA5,Mrs. J. Todd,0,0,5,3/11/2010,Excellent Product/Life Saver
B001GVISJW,ARS5Q7LR6HWPG,"N. Pine ""pcone""",0,0,4,8/28/2011,Nice snack
B001GVISJW,A2YIO225BTKVPU,"Angel_Boy ""Treat the people around you the wa...",0,0,4,4/3/2011,Good Licorice
B001GVISJW,A1ROND7G1QTOFY,Karon Dixon,0,0,5,9/30/2010,I love these!!!!!!!!
B001GVISJW,A1Z54EM24Y40LL,c2,0,0,5,3/21/2010,Great for the kids!
B001GVISJW,A281387UUS2IN5,Beantown Jim,0,1,3,4/18/2010,Bite sized
B0017I8UME,A2NH6XPAZG881D,MarkD,2,2,5,4/18/2009,Sweet with a nice kick!
B0017I8UME,AKX0RW482WAFD,Barbie,2,2,2,10/22/2008,BROKEN BOTTLE BOTTOMS!
B0017I8UME,ATBE88PKKQTRA,Matthew R Lehmkuhler,0,0,5,8/8/2012,Love the salsa!!
B0064KU9HO,AJFIH0DZYJF7T,Lisa Barton,0,0,3,10/16/2012,Ehhh...
B0037ZFEW4,ABTKZKAWOK4DC,huntersgun,3,3,5,1/10/2012,awesome cornmeal
B00374XSVY,AC567LXSKDNC1,Teeebooo,0,0,5,7/5/2012,GREAT marinade!
B00374XSVY,A2PW7DRW757OL0,Chris,0,0,5,4/22/2012,Awesome stuff
B005P0HHGK,AISCBGJRPPZ5G,"KT ""loves to read""",0,0,4,1/15/2012,tastes good
B002HQAXUW,A17ESTP5T7T1PH,Bumbeda1,1,1,1,12/27/2011,Rip off Price
B000SV90J8,A1CY94Z8YWQV12,Karas M. Stewart,1,1,5,3/1/2010,JELL-O
B000SV90J8,A3OO3TXDSIJDHY,pianolover,0,0,5,12/12/2011,Great flavor of Jell-o.
B0036VM05I,AUIVXYS8E4DEX,Dr. Christopher Lee,1,1,5,1/28/2012,Great Deal
B0036VM05I,A335SFRERY214N,"D. Melo ""Character Connoisseur""",0,0,5,10/6/2012,Great tasting sea salt WITH iodine
B000ITVLE2,A3NID9D9WMIV01,"Louie Arrighi ""Lou da Joo""",17,19,5,12/6/2009,tastes very fresh
B000ITVLE2,A395S4RA1X7BFB,Pen_Name123,3,3,5,9/13/2011,Simple but good
B000ITVLE2,ADL44P8Z4A3M5,"A. Goldsmith ""Media Hound""",2,2,5,12/5/2011,tasty!
B000ITVLE2,A1K37I9HWF3SAI,James R. Mckinney,1,1,3,10/3/2012,Not the greatest tasting..
B000ITVLE2,A6Y8N2GHDH0ZO,Matty,0,0,4,9/22/2012,Not Bad
B000ITVLE2,A5X6PJANY4XW4,"Tcat Houser ""A Customer""",0,0,5,9/20/2012,"Right size, taste"
B000ITVLE2,ARTBQH9WOZTIV,"Billy Wilson ""amzrview""",0,4,1,3/22/2010,Tasteless but low calorie
B003TQQKFQ,A2TUJ3MOKXZVYK,Amy,1,1,5,6/1/2012,This stuff is sooooo good!
B003TQQKFQ,A2QHQM3HHFUSHG,Catherine Lea,2,3,5,4/11/2012,Best Stuff Ever
B007B9J6G2,A34YK0ZTWOR858,NikkiBast,1,1,1,8/20/2012,Very Low quality
B0064KO0BU,A34D61RQILOKIJ,TampaBayGal,1,1,1,10/13/2012,Not Banana Runts
B0064KO0BU,AAV3AEI6YSYA2,sue,0,0,3,8/24/2012,Banana Heads Not Banana Runts
B0064KO0BU,A104Y49ZQ4CYJ2,"H. Adams ""hollya""",0,0,5,8/13/2012,Worked great!
B001IUKD76,A2KVCXTQVN18KI,"A. Martin ""tony_fourbu""",3,3,5,9/1/2010,Ricore forever
B001IUKD76,A2K8UBI64T0BM8,A. Carriglio,3,3,5,12/30/2009,Delicious!
B0081XN2HQ,A3HUV0ZQPXO3V7,Pink Dandy Chatter,0,0,5,8/14/2012,"Fluffy, Soft, Delicious and Sugary Sweet"
B0025VRCJY,A3PPOTV6659ATF,Jerald,5,6,4,8/3/2010,Great but not as good as it was back in the day as a teen
B0025VRCJY,A2VYRRDJN2UKWB,"Dario Quinonez ""aprilkid""",1,1,5,3/13/2011,EXCELLENT LEMON JUICE
B0025VRCJY,A2ACUGNVT36JYX,Lyannah,0,0,5,12/30/2011,Great Product
B0025VRCJY,A3F8JQ5J29GWUV,qv240,0,0,5,9/9/2011,Handy
B0025VRCJY,A3L9ZT7SRJYLVH,"JDTexan ""JDTexan""",0,2,4,1/2/2011,ReaLemon Juice from Amazon.
B005CJVVJ8,A3O8ZE8BHREE0W,Tom Falcon,8,8,4,8/26/2011,"relaxing, almost like something you smoke"
B005CJVVJ8,A3BSTFFIKK5YTW,"BOATS99 ""BOATS99""",6,6,4,1/31/2012,Never paid that much !
B005CJVVJ8,A3F44FUPG97AA9,Monie,1,1,5,6/13/2012,Marley's Mellow Mood Lite - Half Tea Half Lemonade
B005CJVVJ8,A1AL946PZ24084,Melinda K. Sanders,0,0,3,4/18/2012,Great product to help you sleep
B001KUUNP6,A262Z0S6PT9U16,Lee Thombley,3,3,5,12/19/2010,Perfect for gluten-free chocolate chip cookies
B001KUUNP6,A317BY3IPZ83MJ,"James G. Colet ""psychocarp""",3,3,5,2/25/2009,Garbonzo  Bean Flour
B001KUUNP6,A18VJ0WOQAIZYD,Ean Behr,0,0,5,5/18/2012,yum falafel
B000NY8ODS,A1IU7S4HCK1XK0,Joanna Daneman,2,2,5,4/8/2012,"Make a fresh fruit tart, light and beautiful"
B00029XIZI,A2S72TUJDQUBMH,Nadia,0,0,5,3/4/2009,Miracle
B004V6AH34,ATX44LVZL5JFV,Silvy,1,1,4,8/27/2011,not bad for instant healthy coffee
B004V6AH34,A3AFVGFX175F9N,Gift Card Recipient,0,0,3,6/25/2012,It's ok
B004V6AH34,AXAJ1GHE97YE2,"Jasmin Song ""Jasmin Song""",0,0,5,6/7/2012,I love it!
B004V6AH34,A3POAWC2JPQQQP,me,0,0,5,5/29/2012,great taste and has health benefits!
B004V6AH34,AJZ2A9UOJK0RB,LK,0,0,5,5/4/2012,Tastes Great. Arrived in 2 days!
B0028C44Z0,A19NGYCQ1NCF3W,S. Haney,2,2,5,12/14/2011,Great for after lunch
B0028C44Z0,A32DDKLY942A84,"PrinterCPE ""damnsilly1""",2,2,4,9/12/2010,"Nice little mints, but pricey."
B0028C44Z0,A3B6S35IUGOGW4,Rutt10,1,1,5,3/18/2011,Altoids mini mints tins
B0028C44Z0,AI7O5C9KBVSTF,i&#60;3pnutbutter,3,4,5,5/17/2010,Altoids Smalls-Wintergreen
B0028C44Z0,A4LL4KXLRBQHQ,stillgoinstrong,2,3,3,7/7/2010,Sugarfree...
B0028C44Z0,A3U94LRA4I8YAL,"Brenda Woodward ""love to read""",2,3,5,2/12/2010,Tasty!!
B0028C44Z0,A1WTXY4MW3YDF2,Gordon,0,0,5,8/12/2012,These mints are awesome!
B0028C44Z0,A1UF2VN3O50NGW,Lou,0,0,2,3/4/2012,Altoids Smalls
B0028C44Z0,A3VAYCK681VZZO,Optimus,0,0,5,11/8/2011,Love these! And reusable containers
B0028C44Z0,A3TIC20I6XI297,dog lover,0,0,5,11/5/2011,Altoids
B0028C44Z0,A2Q8F5N7HQXWDW,Bell Girl,0,0,4,9/25/2011,A huge hit at the office!
B0028C44Z0,A2RMYCQIST622H,Dan,1,2,5,11/28/2011,"Love 'em, they're great!"
B0028C44Z0,A27D5IRAIGLOG5,Texan Gal,1,2,5,4/19/2010,Love these!
B0028C44Z0,A5F7YR0G7H9HR,Ma J. Vargas Peña,0,1,5,9/5/2011,fresh!
B0028C44Z0,A2E0MNOYZI00VW,Deborah Laux,1,3,5,8/30/2011,Wintergreen Me
B0028C44Z0,A3BJ9NS09YGQT5,"Atl Chris ""Atl Chris""",0,3,1,8/28/2011,These just don't do it for me as breath mints
B0009XLVGA,A3S84SEN2Z6DZU,"EJ ""Seayhorse""",2,2,5,3/5/2011,"better than average, more expensive than average."
B0009XLVGA,A2U3Z5S70AE80V,Margaret,2,2,5,3/7/2010,My cat loves it!
B0009XLVGA,ATHUN0PJ0MG0P,"R. Cross ""LVWolfman""",1,1,5,9/3/2011,Great For Fat Cats and Senior Citizens
B0009XLVGA,A2LWOW7SO2QPML,JHexatthewheel,0,1,2,7/13/2011,Nearly killed the cats
B0009XLVGA,A1NHQNQ3TVXTZF,"Desert Girl ""chrissylovesherhusband""",3,10,1,9/1/2008,CHANGED FORMULA MAKES CATS SICK!!!!
B002TDK0VK,A3FU8FVBZ8ZODD,D. Anthony,0,1,4,11/9/2011,Best by the case
B002TDK0VK,A24HJWXL3LHULM,scott Smith,0,1,5,11/16/2010,Looking for a different flavor?
B002TDK0VK,A3GRP8QRFGDH8T,Technically Proficient,1,4,1,1/27/2011,Price cannot be correct
B0040WAG7Q,A19SDJ2TSSL8HI,K. McGee,0,0,3,9/15/2012,More Hot/Spicy than McCormick's Brand
B001EO5ZMO,AW497M5SEXAPQ,Neal Pollack,5,5,5,2/14/2010,Ahmad Loose Imperial Blend Tea is great for the price
B001EO5ZMO,A3KQ1480MHXXCW,M'ville,3,3,5,4/28/2010,Nice tea
B001EO5ZMO,A8D27L5Q5BLRC,K. Kwan,0,0,5,10/22/2012,A fragrant tea
B001EO5ZMO,A1C5SHU81SRARN,Sophia T,0,0,5,7/15/2011,Best Ahmad Tea
B001EO5ZMO,A3JP1UJAF8YY0F,Irish Stu,0,0,5,6/14/2011,My favorite tea
B001EO5ZMO,A8XEEORIXJNZL,Joseph Emmanuel,0,1,5,3/4/2012,Best tea ever!
B001EO5ZMO,A3A4GAPXRX5SHM,markiz,1,3,2,8/22/2010,Not a real tea
B001SATU8E,A1CR1DS15Z7XO1,Tiff D,0,0,4,1/25/2010,DELICIOUS
B007JFV6RK,A2WQBT7RS1HSSU,"Wade Jackman ""wpjackman""",1,1,5,8/27/2012,Best Bloody Mary mixer
B007JFV6RK,A3LCMQ815MBJW9,Patty,1,1,5,5/28/2012,The Best
B007JFV6RK,A2UC5JUVHIF80L,Abendago,1,1,5,4/10/2012,Mcclures bloody Mary mix
B001L4ELRW,A1AK335P17JXL0,Victoria Brown,0,0,1,8/22/2012,Not Good
B003SO503C,A2ODZ3CH8PMYTL,Nanette,0,0,5,9/10/2012,Love this tea!
B003SO503C,A3OXRFCJI67IMN,Bold Consumer,0,0,5,4/8/2012,Really Nice Taste!
B003ZFXJDW,A2HL6876LDPJIM,flageolet,0,0,5,7/31/2012,just give me some watermelon and citron sea salt
B003ZFXJDW,A2KPPGFMPD20M6,Linda Albert,0,0,1,7/31/2012,Furniture Polish Taste
B003ZFXJDW,AJ94Y22SUFCGU,Gwenhwyfar,0,1,5,4/20/2011,Big tub o' salt
B001HTL6CY,A1KLA02LZXAT46,Dandelion,0,0,2,4/9/2011,"Taste is neutral, quantity is DECEITFUL!"
B000WFRMRW,A2GN6W82DZNUN8,jackman,0,0,5,7/10/2012,Eukanuba puppy small breed dog food
B000WFRMRW,A3Q7QBDSAZ670I,B. Barnett,0,0,4,3/9/2012,High Quality... But it gave my dog wicked gas..
B001EO5ZME,AF72GTWZGAC61,Pinkhat,0,0,5,2/28/2012,Great tasting green tea and such a great deal.
B0093NIWVO,A1JT114SOITFFO,Dan & Eileen,0,0,5,10/20/2012,OMG best chocolate jelly belly
B001EO5ZMY,AF72GTWZGAC61,Pinkhat,3,3,5,3/3/2012,Excellent loose tea.
B001EO5ZMY,AOSK1PLKNT64,Mrclouky,1,1,5,12/14/2011,Good anytime hot tea
B001EO5ZMY,A1DAHZRJTX5X1Z,Erfan,1,1,5,4/14/2011,My everyday cup of Tea
B001EO5ZMY,A7WE8ZWEJG34E,Kapitoshka,2,3,4,4/29/2010,This is what you get in the store
B001EO5ZMY,A1W4LZ4VZDF29Y,"Guy S. Painter ""gspainter""",0,0,4,5/29/2010,Ahmad Tea
B001EO5ZMY,A3E81HFGNME65J,suave,1,9,2,6/20/2009,Disappointed
B007TFONH0,AMRNVZKWF6519,confettissimo,1,1,5,6/1/2012,Wonderful!
B007TFONH0,A10IFYN5U6X20R,onemagoo,0,0,5,10/14/2012,Best way to buy kcups
B007TFONH0,A3ICO2ROSXHIPM,tightwad,0,0,5,6/27/2012,delicious
B000GGKQSO,A1OE23J37ZPDXE,Donald Edward Liberman,0,0,5,4/11/2010,keeps you out of the dentest chair
